TSCode	TripCode	LineCode	RecordedTime	Longitude	Latitude	Count
A003	1281427	54	2021-09-20T18:00:13	71.4300842	51.12202	3
A003	1281427	54	2021-09-20T18:01:50	71.43303	51.1253967	3
A003	1281427	54	2021-09-20T18:02:18	71.43588	51.12494	3
A003	1281427	54	2021-09-20T18:03:20	71.43588	51.12494	3
A003	1281427	54	2021-09-20T18:04:40	71.43674	51.1248245	3
A003	1281427	54	2021-09-20T18:05:41	71.43674	51.1248245	3
A003	1281427	54	2021-09-20T18:06:11	71.43674	51.1248245	3
A003	1281427	54	2021-09-20T18:07:43	71.43674	51.1248245	3
A003	1281427	54	2021-09-20T18:08:29	71.43805	51.1256065	3
A003	1281427	54	2021-09-20T18:09:30	71.43882	51.1275368	3
A003	1281427	54	2021-09-20T18:10:20	71.44009	51.13049	3
A003	1281427	54	2021-09-20T18:11:21	71.439064	51.13259	3
A003	1281427	54	2021-09-20T18:13:11	71.4357452	51.1331253	3
A003	1281427	54	2021-09-20T18:13:29	71.43528	51.1332054	3
A003	1281427	54	2021-09-20T18:14:37	71.42972	51.1342163	3
A003	1281427	54	2021-09-20T18:15:49	71.42278	51.13538	2
A003	1281427	54	2021-09-20T18:16:45	71.41931	51.136013	2
A003	1281427	54	2021-09-20T18:17:03	71.41708	51.1363678	2
A003	1281427	54	2021-09-20T18:18:04	71.4126053	51.1368942	2
A003	1281427	54	2021-09-20T18:19:42	71.4093246	51.1373672	2
A003	1281427	54	2021-09-20T18:20:41	71.409935	51.13992	2
A003	1281427	54	2021-09-20T18:21:12	71.41108	51.1429062	2
A003	1281427	54	2021-09-20T18:22:16	71.41212	51.1458168	1
A003	1281427	54	2021-09-20T18:23:18	71.41212	51.1458168	1
A003	1281427	54	2021-09-20T18:24:43	71.412674	51.14838	1
A003	1281427	54	2021-09-20T18:25:35	71.412735	51.1533165	1
A003	1281427	54	2021-09-20T18:26:17	71.41197	51.1561356	11
A003	1281427	54	2021-09-20T18:27:49	71.41034	51.1616821	1
A003	1281427	54	2021-09-20T18:28:56	71.4099655	51.16297	19
A003	1281427	54	2021-09-20T18:29:58	71.4099655	51.16297	1
A003	1281427	54	2021-09-20T18:30:28	71.40939	51.16478	9
A003	1281427	54	2021-09-20T18:31:22	71.40877	51.1668053	12
A003	1281427	54	2021-09-20T18:32:31	71.4080048	51.16977	12
A003	1281427	54	2021-09-20T18:33:53	71.40693	51.1739044	12
A003	1281427	54	2021-09-20T18:34:23	71.40654	51.1745949	1
A003	1281427	54	2021-09-20T18:35:24	71.40654	51.1745949	2
A003	1281427	54	2021-09-20T18:36:42	71.3995	51.1755676	12
A003	1281427	54	2021-09-20T18:37:33	71.39706	51.1760445	12
A003	1281427	54	2021-09-20T18:38:04	71.39387	51.17667	12
A003	1281427	54	2021-09-20T18:39:24	71.39009	51.17754	12
A003	1281427	54	2021-09-20T18:41:04	71.38176	51.1796722	12
